"","species","75","150","300"
"1","Aichivirus A",100,100,100
"2","Alphapapillomavirus 9",99.998699869987,100,100
"3","Betacoronavirus 1",99.9997845822895,100,100
"4","Betapolyomavirus hominis",99.997599759976,100,100
"5","Enterovirus A",99.6583662339092,99.6588137328585,99.6794938194782
"6","Enterovirus B",98.756041864208,98.8149588237348,98.8744452848927
"7","Enterovirus D",99.9999419154428,99.9995707109892,99.9983290648576
"8","Erythroparvovirus primate1",99.9999564365821,100,100
"9","Hepatitis delta virus",99.9998999953998,100,100
"10","Hepatovirus A",100,100,100
"11","Human coronavirus 229E",100,100,100
"12","Human coronavirus HKU1",99.9988873459592,99.9999144603862,100
"13","Human coronavirus NL63",99.9991415283298,100,100
"14","Human immunodeficiency virus 2",99.9998499930997,100,100
"15","Human mastadenovirus B",99.9996929208827,100,100
"16","Human mastadenovirus C",99.9999240630373,100,100
"17","Human mastadenovirus E",99.997776817712,100,100
"18","Human rhinovirus sp.",99.9433746462792,99.9433730852919,99.9434840994626
"19","Metapneumovirus hominis",99.9998680111655,100,100
"20","Norwalk virus",100,100,100
"21","Orthopneumovirus hominis",99.6962493937243,99.682162308272,99.6583081794015
"22","Orthorubulavirus hominis",99.9999572363751,100,100
"23","Orthorubulavirus laryngotracheitidis",100,100,100
"24","Parechovirus A",98.9360226865371,99.0427231600034,99.1609830791901
"25","Parechovirus B",100,100,100
"26","Respirovirus laryngotracheitidis",100,100,100
"27","Rhinovirus A",99.9977975231652,99.9973216947292,99.9964453763188
"28","Rhinovirus B",100,99.9999128694445,100
"29","Rhinovirus C",99.9999651492657,100,100
"30","Rubivirus rubellae",99.9998600499693,99.9999499974249,100
"31","Sapporo virus",100,100,100
"32","Severe acute respiratory syndrome-related coronavirus",99.9999852420231,100,100
"33","Simplexvirus macacinealpha1",99.983898389839,99.9914995494761,99.996989396655
"34","Varicellovirus humanalpha3",99.999799979998,100,100
