"","species","75","150","300"
"1","Aichivirus A",100,100,100
"2","Alphapapillomavirus 9",98.9229494614747,100,100
"3","Betacoronavirus 1",99.9653834314673,100,100
"4","Betapolyomavirus hominis",99.4402985074627,100,100
"5","Enterovirus A",37.5234750192672,41.1223349568988,46.5247705160381
"6","Enterovirus B",42.0412301511094,44.8113960364488,47.6723194352512
"7","Enterovirus D",100,100,100
"8","Erythroparvovirus primate1",99.9906524584034,100,100
"9","Hepatitis delta virus",99.995789828225,100,100
"10","Hepatovirus A",100,100,100
"11","Human coronavirus 229E",100,100,100
"12","Human coronavirus HKU1",99.9737440924208,100,100
"13","Human coronavirus NL63",99.8150133230684,100,100
"14","Human immunodeficiency virus 2",99.9968606111344,100,100
"15","Human mastadenovirus B",99.9827493158313,100,100
"16","Human mastadenovirus C",99.9942155862854,100,100
"17","Human mastadenovirus E",99.8309252899891,100,100
"18","Human rhinovirus sp.",0,0,0
"19","Metapneumovirus hominis",99.9851383320671,100,100
"20","Norwalk virus",100,100,100
"21","Orthopneumovirus hominis",77.5991006257401,76.6559448596359,74.8595071601804
"22","Orthorubulavirus hominis",99.9926166568222,100,100
"23","Orthorubulavirus laryngotracheitidis",100,100,100
"24","Parechovirus A",5.41515464267601,14.9458276849436,25.3974177929414
"25","Parechovirus B",100,100,100
"26","Respirovirus laryngotracheitidis",100,100,100
"27","Rhinovirus A",99.9462568220179,100,100
"28","Rhinovirus B",100,100,100
"29","Rhinovirus C",100,100,100
"30","Rubivirus rubellae",99.9832369071957,99.995138844302,100
"31","Sapporo virus",100,100,100
"32","Severe acute respiratory syndrome-related coronavirus",99.9996382814026,100,100
"33","Simplexvirus macacinealpha1",85.7269503546099,92.4645390070922,97.3309608540925
"34","Varicellovirus humanalpha3",99.7627520759193,100,100
