"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1","[Clostridium] scindens","75",98.6860097042129,99.9998309124538,99.9856984970389,99.9877701104026,98.6926175707846,99.9998309124538,99.98579850744,99.9877712630813
"2","[Clostridium] scindens","150",99.0565253409647,99.999831875542,99.9909327864997,99.872212140756,99.0565253409647,99.999831875542,99.9909327864997,99.872212140756
"3","[Clostridium] scindens","300",99.3213380003743,99.9995602032633,99.9931426072855,99.8512008607011,99.3213380003743,99.9994921347251,99.9930757066673,99.8472813672081
"4","[Eubacterium] brachy","75",0,100,99.3747042125957,100,0.0145187940869312,100.000032281393,98.2112374457729,100
"5","[Eubacterium] brachy","150",0,100,99.3749062868351,100,0.0633463219358089,100.000338786746,98.2123820839001,140.997198879552
"6","[Eubacterium] brachy","300",0,100,99.3745031309449,100,0.0845283150313007,100.000425222575,98.2126447237595,133.666666666667
"7","[Eubacterium] nodatum","75",0,100,98.8363042650869,100,0.0145187940869312,100.000032281393,98.2112374457729,100
"8","[Eubacterium] nodatum","150",0,100,98.835960016495,100,0.0633463219358089,100.000338786746,98.2123820839001,140.997198879552
"9","[Eubacterium] nodatum","300",0,100,98.836363501003,100,0.0845283150313007,100.000425222575,98.2126447237595,133.666666666667
"10","[Haemophilus] ducreyi","75",99.1521197007481,99.9997991457669,99.9963991249874,99.9497234791352,98.9781119614449,99.9936121507365,99.9480873852346,99.8626806537301
"11","[Haemophilus] ducreyi","150",99.9251683711649,99.9998995860939,99.9995999547949,99.9750436735712,99.7077328097809,99.9951835738929,99.982297999674,99.8971768334935
"12","[Haemophilus] ducreyi","300",99.9750124937531,100,99.9998996473608,100,99.9216669277769,99.9964278397361,99.993075667897,99.9239033124441
"13","Abiotrophia defectiva","75",98.1642812694462,100,99.9881989379044,100,98.1642812694462,100,99.9881989379044,100
"14","Abiotrophia defectiva","150",99.1759950248756,100,99.9946996713796,100,99.1759950248756,100,99.9946996713796,100
"15","Abiotrophia defectiva","300",99.4849383486811,100,99.9966881734674,100,99.4849383486811,100,99.9966881734674,100
"16","Achromobacter denitrificans","75",96.8223964466931,99.9999563848254,99.9920583372575,99.9622926093514,99.5070404617554,99.9984439192377,99.9971608051032,99.1695028298456
"17","Achromobacter denitrificans","150",99.1519742027478,99.9999563829611,99.9981917360467,99.9629355077835,99.754580527566,99.9990460161735,99.9986162522324,99.3905118099159
"18","Achromobacter denitrificans","300",99.8017034449256,99.9997818899519,99.9991807042914,99.8404847738797,99.9751614505713,99.9982593431812,99.9981769556495,98.8866613161946
"19","Acidipropionibacterium acidipropionici","75",96.4391251901394,99.9999666302937,99.9871651724084,99.9596448748991,98.751734296049,99.9999666302937,99.9953327935315,99.960830395613
"20","Acidipropionibacterium acidipropionici","150",98.3591175284403,99.9999666346025,99.9933995828395,99.9607381232823,99.4250873608862,99.9999666346025,99.9975998465899,99.96114996115
"21","Acidipropionibacterium acidipropionici","300",98.7383026317212,99.999966521941,99.9955845255336,99.9606454151909,99.5790388163653,99.9999328307738,99.9982271174394,99.9563636930128
"22","Acinetobacter baumannii","75",11.3556545084394,99.9891406006975,99.6430383970394,82.4691926094935,98.5776347453563,99.9974832055146,99.9732022008537,99.8458160117898
"23","Acinetobacter baumannii","150",17.7108834080589,99.989242432695,99.6680859864701,87.4893707482993,99.1526298998134,99.9954505031242,99.9805980988315,99.7256365967225
"24","Acinetobacter baumannii","300",36.3926275652017,99.9805890141164,99.7328197644183,89.0412365887976,99.4905935599087,99.9933315366717,99.9849460365178,99.5585932048848
"25","Acinetobacter junii","75",66.696455168305,100,99.8881800960571,100,99.8212689901698,99.9996989357378,99.9990998397715,99.9105545617174
"26","Acinetobacter junii","150",86.1483467381591,100,99.9534957216064,100,99.9106344950849,100,99.9996999723975,100
