"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1","Aichivirus A","75",95.8028411536806,100,99.9902267935212,100,95.8028411536806,100,99.9902267935212,100
"2","Aichivirus A","150",100,100,100,100,100,100,100,100
"3","Aichivirus A","300",100,100,100,100,100,100,100,100
"4","Alphapapillomavirus 9","75",94.5733222866611,100,99.9934344100066,100,94.5733222866611,100,99.9934344100066,100
"5","Alphapapillomavirus 9","150",99.171270718232,100,99.9993986921554,100,99.171270718232,100,99.9993986921554,100
"6","Alphapapillomavirus 9","300",100,100,100,100,100,100,100,100
"7","Betapolyomavirus hominis","75",94.9277052238806,100,99.9781982317012,100,96.3386194029851,100,99.9842626316188,100
"8","Betapolyomavirus hominis","150",98.9431968295905,100,99.9983965124145,100,100,100,100,100
"9","Betapolyomavirus hominis","300",99.9515738498789,100,99.9997929471591,100,100,100,100,100
"10","Enterovirus A","75",35.1720104676874,99.9764751158265,99.6049876048144,55.1500335162737,71.2640109964862,100,98.4505259335725,100
"11","Enterovirus A","150",37.4190967108874,99.9689835913312,99.6112984869222,62.0963844498381,72.4947901453126,100,98.512882930491,100
"12","Enterovirus A","300",39.5276874917543,99.9671385113908,99.6222154437512,68.0372961590003,73.5123572010443,100,98.5692085263417,100
"13","Enterovirus B","75",40.4813606108232,99.9983746686936,98.5157958928337,99.7815163312172,62.3937022079927,100,97.9678655920471,100
"14","Enterovirus B","150",42.0105206677148,99.9979006187894,98.5515748539038,99.7319750154166,63.8994120657228,100,98.0481588462695,100
"15","Enterovirus B","300",43.6749479205255,99.9969679003979,98.5938077744915,99.6482307575859,65.2349688263706,100,98.1220861908234,100
"16","Enterovirus D","75",99.7343866383604,99.9999324811441,99.9940724900299,99.9884609837011,71.2726669983563,100,98.4469916049657,100
"17","Enterovirus D","150",99.997465916578,99.9999831325431,99.999966488149,99.997465916578,72.4947901453126,100,98.512882930491,100
"18","Enterovirus D","300",100,99.9995466653027,99.9995494351505,99.9260902024655,73.5123572010443,100,98.5692085263417,100
"19","Guanarito mammarenavirus","75",99.0326403379962,100,99.849678615482,100,99.0332843857073,100,99.8497786962973,100
"20","Guanarito mammarenavirus","150",100,100,100,100,100,100,100,100
"21","Guanarito mammarenavirus","300",100,100,100,100,100,100,100,100
"22","Hepatitis delta virus","75",0.0161342240903583,100,98.6217547306028,100,0.0161342240903583,100,98.6217547306028,100
"23","Hepatitis delta virus","150",0.0327240360429462,100,97.7172762088826,100,0.0327240360429462,100,97.7172762088826,100
"24","Hepatitis delta virus","300",2.57679831873432,100,98.6575118219686,100,2.57679831873432,100,98.6575118219686,100
"25","Hepatovirus A","75",99.3642329778507,100,99.9968926215298,100,99.415504511895,100,99.9971432165677,100
"26","Hepatovirus A","150",100,100,100,100,100,100,100,100
"27","Hepatovirus A","300",100,100,100,100,100,100,100,100
"28","Human alphaherpesvirus 3","75",97.7461447212337,100,99.9980954777118,100,97.7461447212337,99.9998495158171,99.9979451206891,99.8182919442762
"29","Human alphaherpesvirus 3","150",99.6726677577741,100,99.9991982562073,100,99.6726677577741,100,99.9991982562073,100
"30","Human alphaherpesvirus 3","300",100,100,100,100,100,100,100,100
"31","Human coronavirus 229E","75",99.2580338460637,100,99.9959224702157,100,98.3469731269099,99.9992583147626,99.9849533781479,99.9493418949226
"32","Human coronavirus 229E","150",99.9973942047113,100,99.9999748232466,100,99.9790027324735,99.9997703918202,99.9995973434064,99.975905318918
"33","Human coronavirus 229E","300",100,100,100,100,100,99.9998153049406,99.9998179848932,99.9835526207618
"34","Human coronavirus HKU1","75",96.825365058674,99.9994435051607,99.9890778093487,99.8263090717434,81.293898220687,100,99.6239951519449,100
